area,price,,,,,
4.09,1059033.558,,,,,
3.09,1505890.915,,,,,
5.13,1058987.988,,,,,
3.26,1260616.807,,,,,
4.23,630943.4893,,,,,
4.04,1068138.074,,,,,
3.41,1502055.817,,,,,
2.42,1573936.564,,,,,
2.3,798869.5328,,,,,
6.1,1545154.813,,,,,
4.1,1707045.722,,,,,
4.49,663732.3969,,,,,
3.1,1042814.098,,,,,
2.27,1291331.518,,,,,
4.37,1402818.21,,,,,
4.01,1306674.66,,,,,
3.12,1556786.6,,,,,
4.3,528485.2467,,,,,
5.12,1019425.937,,,,,
5.49,1030591.429,,,,,
4.07,2146925.34,,,,,
2.1,929247.5995,,,,,
4.31,718887.2315,,,,,
6.34,743999.8192,,,,,
4.23,895737.1334,,,,,
4.33,1453974.506,,,,,
2.03,1125692.507,,,,,
4,975429.4928,,,,,
3.04,1240763.766,,,,,
4.07,1577017.76,,,,,
3.24,1246830.188,,,,,
4.42,1170720.894,,,,,
5.36,1071279.21,,,,,
6.29,534305.1323,,,,,
6,936368.9634,,,,,
2.07,1199193.831,,,,,
4.1,1233220.009,,,,,
3.01,1081150.125,,,,,
2.39,524712.7661,,,,,
2.5,302355.836,,,,,
2.17,1026817.4,,,,,
6.3,1762214.68,,,,,
4.43,882057.1706,,,,,
4.44,1744932.211,,,,,
6.32,1153871.47,,,,,
3.18,1499988.88,,,,,
6.35,1109588.38,,,,,
3.22,980177.3051,,,,,
2.13,1323952.027,,,,,
4.02,1662494.736,,,,,
6.36,1417819.74,,,,,
3.32,549976.1456,,,,,
4.12,1054770.981,,,,,
3.32,1415647.553,,,,,
6.41,948788.2757,,,,,
4.09,1159596.519,,,,,
3.24,1547133.396,,,,,
5.08,1186688.506,,,,,
4.01,772111.9721,,,,,
3.06,1172730.156,,,,,
2.28,1111085.017,,,,,
4.23,1022781.171,,,,,
4.2,1274474.546,,,,,
4.32,1213530.85,,,,,
5.43,1411730.477,,,,,
3.13,858685.5659,,,,,
3.28,1200961.821,,,,,
4,1520234.229,,,,,
6.36,1360908.32,,,,,
4.12,1360920.53,,,,,
3.27,1146532.455,,,,,
3.08,1789098.521,,,,,
3.17,852099.464,,,,,
3.15,746096.7289,,,,,
6.25,1534479.907,,,,,
3.27,1215608.531,,,,,
3.43,941594.3284,,,,,
4.38,1204598.037,,,,,
3.28,1597655.258,,,,,
6.16,1492011.496,,,,,
4.28,1421216.504,,,,,
4.11,1132522.901,,,,,
4.1,1102821.438,,,,,
6.24,1856211.35,,,,,
3.35,1687998.933,,,,,
4.48,1063423.007,,,,,
3.2,1177289.886,,,,,
3.07,1173474.379,,,,,
3.39,1637259.999,,,,,
4.04,1238938.291,,,,,
3.38,201898.0866,,,,,
6.06,1439506.102,,,,,
3.3,585608.6326,,,,,
3.46,1294685.159,,,,,
3.33,2014851.344,,,,,
4.33,1840236.006,,,,,
4.41,1441421.913,,,,,
4.48,1498640.551,,,,,
2.38,954746.5764,,,,,
2.37,1124635.932,,,,,
3.45,1169944.248,,,,,
2.02,1114430.953,,,,,
4.37,1783534.839,,,,,
3.22,1302933.248,,,,,
4.41,1241483.612,,,,,
2.14,954114.544,,,,,
3.24,1555320.5,,,,,
2.23,404976.3659,,,,,
2.44,1073183.76,,,,,
2.29,1422195.879,,,,,
3.2,340605.2113,,,,,
6.32,1170959.526,,,,,
4.19,942838.1647,,,,,
4.11,1401613.92,,,,,
3.41,1175504.486,,,,,
2.3,608794.2467,,,,,
5.13,946943.0362,,,,,
6.04,1819900.637,,,,,
2.17,1463130.273,,,,,
5.49,1252391.18,,,,,
5.28,1714445.175,,,,,
3.18,1291759.393,,,,,
6.32,1809154.289,,,,,
2.3,1200539.361,,,,,
5.1,1300265.21,,,,,
4.37,997448.7281,,,,,
3.46,2152959.409,,,,,
5.45,1629983.847,,,,,
3.1,497579.4466,,,,,
4.36,890112.5493,,,,,
2.05,1064685.699,,,,,
6.39,1530124.016,,,,,
4.36,1246246.828,,,,,
4.45,1240754.932,,,,,
4.22,1760734.69,,,,,
6.44,1393746.76,,,,,
4.35,1172385.898,,,,,
4.07,483986.109,,,,,
3.37,1388530.157,,,,,
6.2,1721739.384,,,,,
6.19,1276448.792,,,,,
2.49,1161742.677,,,,,
2.04,786407.9451,,,,,
4.46,1604920.973,,,,,
5.13,1230149.137,,,,,
4.32,1051644.554,,,,,
5.15,1415073.614,,,,,
3.21,1043483.915,,,,,
6.45,1544379.748,,,,,
3.22,1352135.967,,,,,
3.44,1505727.431,,,,,
4.2,1416965.979,,,,,
4.33,1046721.976,,,,,
2.18,939040.0036,,,,,
3.26,1383031.332,,,,,
